null,name,image,Salty,Savory,Sour,Bitter,Sweet,Spicy,materials
,조선하이볼,https://recipe1.ezmember.co.kr/cache/recipe/2020/12/04/7f0458f2b9ce35df3e61aa7c4d1aec271_m.jpg,0,0,0,17,50,0,"레몬 1/4조각 (레몬즙 경우3T),  토닉워터 150ml,  백세주 150ml,  얼음 125g"
,메로나 소주 칵테일,https://cphoto.asiae.co.kr/listimglink/1/2020010211035275314_1577930632.jpg,17,17,17,17,83,0,"메로나,  사이다3,  소주1"
,밀키스 블루레모네이드,https://i.ytimg.com/vi/wDK1DsajH0M/maxresdefault.jpg,17,17,17,17,83,0,"블루레모네이드2,  밀키스3,  소주1"
,Red Eye,https://www.thespruceeats.com/thmb/sxtRqb0HqFvNPb1DdnFBQguzqOA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/red-beer-for-brunch-759786-hero-01-db6c450129e24981a1245eedc4037e14.jpg,0,0,0,17,0,0,"토마토 주스 1,  라거맥주1"
,조니 하이볼,http://img.seoul.co.kr//img/upload/2021/08/24/SSI_20210824221902.jpg,0,0,50,17,67,0,"레몬토닉4,  조니워커1"
,예거밤,https://pds.joongang.co.kr/news/component/htmlphoto_mmdata/201703/28/41c7e753-51f9-4c03-b4ec-85f60b7f843a.jpg,17,17,17,17,0,0,"예거마이스터 1,  핫식스3"
,세미 섹스온더비치,https://blog.kakaocdn.net/dn/NzZlv/btqNjUE7JHP/jZVok67rKz8csTjEgXiJk1/img.png,17,17,17,17,40,0,"보드카1,  이프로1,  오렌지주스1,  크렌베리주스1"
,막걸리 수박 펀치,https://cdn.designhouse.co.kr/cms/img/2017/08/M.1501831827.9315.1.jpg,0,0,50,17,67,0,"막걸리 100ml,  수박2쪽,  키위 1/2개,  사이다 50ml"
,과일 식초 막걸리,https://recipe1.ezmember.co.kr/cache/recipe/2021/03/17/f70629a743e695eecc2104fb534c713e.jpg,0,0,50,17,67,0,"과일 식초(블루베리) 50ml,  막걸리 250ml"
,바나나 막걸리,https://www.menupan.com/common/service/img_proxy.asp?src=http%3A%2F%2Fblogfiles.naver.net%2F20131128_76%2Fdmsals0_1385649846504KocpT_JPEG%2FIMG_2790.JPG,0,0,0,0,50,0,"막걸리 150ml,  우유 100ml,  바나나1개,  꿀"
,커피 막걸리,https://2bob.co.kr/data/recipe/20170417135704-12RCY.jpg,17,17,17,83,17,0,"막걸리 150ml,  커피 리큐르 30ml"
,소메리카노,https://img.insight.co.kr/static/2019/10/15/700/p0ss5p6d3jyhb5sm33bk.jpg,0,0,0,0,50,0,"소주 1~2잔,  레쓰비 혹은 아메리카노"
,홍익인간주,https://t1.daumcdn.net/cfile/tistory/230B703850E2910922,0,0,0,0,50,0,"소주 1,  홍초 석류1"
,링겔주,https://t1.daumcdn.net/cfile/tistory/252AAF3555754D8309,0,0,0,0,50,0,"소주1병,  매화수1병"
,소맥산맥주,https://flexible.img.hani.co.kr/flexible/normal/640/427/imgdb/original/2022/0605/20220605500985.jpg,0,0,0,0,50,0,"소주1,  백세주1, 산사춘1, 맥주1"
,고진감래주,http://img.seoul.co.kr//img/upload/2009/06/05/SSI_20090605114348.jpg,17,17,17,17,17,0,"소주 1잔, 맥주 맥주잔 반잔,  콜라 소주잔 1/3잔"
,스크류키스,https://t1.daumcdn.net/cfile/tistory/236DBE4054509BA12E,0,0,50,17,67,0,"소주 2잔, 사이다 1/2캔,  스크류바 1개"
,밀키스주,https://cdn.univ20.com/wp-content/uploads/2017/03/b81846104c31c09cbf96d7d1871fe02a.jpg,0,0,50,17,67,0,"밀키스 1, 맥주 1,  소주1"
,막소사,https://t1.daumcdn.net/cfile/tistory/99786E475CF60ABA1C,0,0,50,17,67,0,"막걸리 6,  소주 1,  사이다 3"
,소닉워터,https://mblogthumb-phinf.pstatic.net/MjAxODEwMThfNjEg/MDAxNTM5ODY5MjI4MjQ1.AVqVK9a8FSAnrNzcUrpGSVNjFvoZQavLFK8HwwmWixAg.sqSw9EOE3hX93gnpTaMbnCQ43U7Z2clEOtGD5RuparUg.JPEG.abcggoggo/20181014_181704.jpg?type=w800,17,17,17,17,30,0,"소주, 토닉워터, 레몬"
,새로 하이볼,https://blog.kakaocdn.net/dn/EZai4/btrzzqkdcuE/pAe3EX4wBnaajS8yEUCxsk/img.jpg,0,0,50,17,67,0,"새로 1,  트레비 레몬,  오랑지나 1"
,편의점 기범주,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/4352986033/B.jpg?824000000,17,17,17,17,30,0,"소주 1,  홍차토닉 2"
,얼그레이 하이볼,https://shakit.co.kr/data/item/1654579111/7IOB7ZKI7I2464Sk7J28_7Ja86re466CI7J20.jpg,17,17,17,17,30,0,"위스키 30ml,  얼그레이 시럽 10ml,  얼음,  토닉워터,  레몬"
,기범주,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/4352986033/B.jpg?824000000,17,17,17,17,0,0,"마르코폴로 홍차 550ml,  소주 1병,  얼음"
,맥사토,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjdgfX-KOjjt_p0Vfn2UnbrPYlQNI-8PHSOw&usqp=CAU,0,0,50,17,67,0,"맥주 1,  사이다 1, 토마토주스 1"
,젤리주,https://mblogthumb-phinf.pstatic.net/MjAxNzExMDNfMjE0/MDAxNTA5Njg1Nzk5OTQy.86F6y09_LW6NoKZs4Hg1KFPzzbLvqplcz8-d6NuAfdYg.9m2wasT6SAjK8n4XSMW8zFdu1dbML3U6R5j2a8oBL1Eg.JPEG.foodsafetypress/%EC%A0%A4%EB%A6%AC%EC%A3%BC21.JPG?type=w800,0,0,50,17,67,0,"젤리,  과일소주"
,에너자이저,https://img.insight.co.kr/static/2019/08/17/700/8v20qqle6wl6tpm7480c.jpg,0,0,50,17,67,0,"파워에이드 2, 핫식스 2, 소주 1"
,버블 탱크,https://mblogthumb-phinf.pstatic.net/20160710_288/21195187_1468148257178KsuWn_JPEG/P20160709_010318388_638B8AB2-7C0D-4DA2-A61B-F5ACF2C835F8.JPG?type=w2,0,0,50,17,67,0,"소주 1, 사이다 1, 탱크보이 1"
