null,name,단맛,신맛,청량감,바디감,도수%,탄산,주종,용량,가격,제조사,원재료,index,sex
,모월연,1,3,1,2,13,0,"약주,청주",500ml,18000,협동조합주담,"쌀,누룩,정제수",163,5
,모월인,,,,3,41,0,증류주,500ml,40000,협동조합주담,"쌀,누룩,정제수",164,5
,모월청,1,3,2,3,16,0,"약주,청주",500ml,21000,협동조합주담,"쌀,누룩,정제수",165,5
,모을동주소주,,,,4,43,0,증류주,350ml,15000,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수",166,5
,모을동주약주,4,3,3,4,13,0,"약주,청주",375ml,13000,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수",167,5
,무주구천동머루와인,2,2,1,3,12,0,과실주,750ml,25000,덕유양조,국내산산머루,168,5
,무주구천동산머루주,2,2,1,3,16,0,과실주,750ml,15000,덕유양조,국내산산머루,169,5
,문경바람백자25,,,,3,25,0,증류주,375ml,16000,농업회사법인(주)제이엘,사과,170,5
,문경바람백자40,,,,4,40,0,증류주,375ml,"24,000",농업회사법인(주)제이엘,사과,171,5
,문경바람오크,,,,4,40,0,증류주,375ml,28000,농업회사법인(주)제이엘,사과,172,5
,문경주조오미자생막걸리,2,3,2,4,6.5,1,탁주,750ml,2500,문경주조,"정제수,백미,입국,올리고당,물엿,허브,오미자,정제효소,아스파탐·아세셀펌칼륨",173,5
,문배술헤리티지23,1,,,1,23,0,증류주,375ml,5555,문배주양조원,"메조,찰수수,쌀",174,5
,문배술헤리티지25,1,,,1,25,0,증류주,375ml,6111,문배주양조원,"메조,찰수수,쌀",175,5
,문배술헤리티지40,2,,,3,40,0,증류주,200ml,12000,문배주양조원,"메조,찰수수,쌀",176,5
,문희문경오미자수제전통주,3,1,3,3,12,0,탁주,500ml,15000,문경주조(전통술체험관),"햇찹쌀,전통누룩,오미자",177,5
,문희햇찹쌀수제전통주,3,1,2,3,13,0,탁주,500ml,15000,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수",178,5
,미르25,2,0,1,3,25,0,증류주,375ml,18000,술샘,"쌀,누룩,정제수",179,5
,미르40,1,0,0,2,40,0,증류주,375ml,23000,술샘,"쌀,누룩,정제수",180,5
,미생막걸리,2,3,3,3,6,0,탁주,750ml,1100,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,정제수",181,5
,미소생막걸리,3,3,3,2,7,0,탁주,750ml,1500,울진술도가,"쌀,누룩,정제수",182,5
,미소아이스,4,1,,3,12,0,과실주,375ml,40000,도란원,"포도,산화방지제,효모등",183,5
,미인약주,4,1,1,2,15,0,"약주,청주",500ml,25000,최행숙전통주가,"찹쌀,누룩,정제수",184,5
,미인탁주,3,1,1,3,10,0,탁주,500ml,15000,최행숙전통주가,"찹쌀,누룩,정제수",185,5
,민속주안동소주,1,,,4,45,0,증류주,400ml,28000,민속주안동소주,"쌀,누룩,정제수",186,5
,바랑탁,4,2,1,4,15,0,탁주,375ml,18000,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,소맥분,정제수",187,5
,밤꽃향기,5,2,2,2,13.5,0,"약주,청주",375ml,4000,농업회사법인사곡양조원,"국내산쌀,밤,누룩,정제수",188,5
,방문주약주,2,3,3,3,15,0,"약주,청주",500ml,7000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수",189,5
,방문주탁주,2,3,3,4,15,0,탁주,500ml,6000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수",190,5
,배꽃담은연생막걸리,3,3,4,2,10,0,탁주,720ml,20000,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,효모,젖산,연잎,정제수",191,5
,배도가로아19레드,2,,,2,19,0,증류주,350ml,10000,주식회사배혜정농업회사법인,사과,192,5
,배도가로아40옐로우,2,,,3,40,0,증류주,350ml,20000,배혜정도가,"쌀,배",193,5
,백년향,3,3,2,3,10,0,탁주,500ml,11000,(주)농업회사법인추연당,"국내산쌀,누룩,정제수",194,5
,백련맑은술,2,2,1,4,12,0,"약주,청주",375ml,7000,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",195,5
,백련생막걸리Misty,2,3,4,4,7,0,탁주,750ml,3000,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",196,5
,백련생막걸리Snow,2,2,2,4,6,0,탁주,750ml,1600,신평양조장,"백미,연잎,정제수,종국,효모,아스파탐,물엿등",197,5
,백운복분자와인,2,2,1,5,11,0,기타주류,360ml,7000,농업회사법인(주)백운주가,"쌀,토종복분자과즙",198,5
,백운복분자주,3,2,2,4,13,0,기타주류,360ml,7000,농업회사법인(주)백운주가,"쌀,토종복분자과즙",199,5
,백이주,2,2,1,3,35,0,과실주,800ml,30000,농업회사법인(주)세찬제조사,"쌀,홍마늘액,감초,개량누룩,효모,정제효소제,정제수,밀함유",200,5
,백자주,3,3,2,3,10,0,탁주,500ml,18000,농업회사법인(주)산수,"국내산찹쌀,멥쌀,잣,누룩,정제수",201,5
,뱅꼬레레드와인,3,4,2,2,12,0,과실주,375ml,25000,(주)한국와인,양조용포도,202,5
,뱅꼬레로제와인,4,3,3,2,11.5,0,과실주,375ml,23000,(주)한국와인,양조용포도,203,5
,뱅꼬레아이스와인,5,2,2,4,12,0,과실주,375ml,90000,(주)한국와인,양조용포도,204,5
,뱅꼬레화이트와인,4,3,3,2,11,0,과실주,375ml,23000,(주)한국와인,양조용포도,205,5
,베베마루캠벨로제,3,1,1,3,12,0,과실주,375ml,20000,월류원,포도,206,5
,베베마루캠벨로제스위트,2,2,1,3,10,0,과실주,375ml,20000,월류원,포도,207,5
,별바랑,4,2,2,4,17.5,0,"약주,청주",375ml,27000,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,정제수",208,5
,병영설성동동주,2,2,3,2,6,0,탁주,1700ml,2500,병영양조장,"쌀,전분,효모,누룩,정제수",209,5
